卡牌名称 (Card Name),卡牌类型 (Card Type),所属文明,获取方式,设计阐述,困境
【教义】,灵感卡 (解锁),信仰时代,通关【精神的虚空】后解锁,系统化的信仰理论。从圣典中提炼出的、用于指导信徒思想和行为的具体准则。,
【圣典】,钥匙卡,信仰时代,中间合成物,解决【精神的虚空】。**固化的神之语**，将零散的神启与教诲编纂成册，成为不容置疑的真理。,
【艺术】,钥匙卡,信仰时代,中间合成物,解决【理念的传播】。**无声的布道**，通过雕塑、壁画、音乐等形式，向不识字的民众传递教义和神圣感。,
【教权】,钥匙卡,信仰时代,中间合成物,解决【异端的挑战】。**尘世的宗教权力**，建立神职人员等级制度，拥有解释教义和裁决异端的绝对权力。,
【手稿】,灵感卡 (初始),理性时代,进入理性时代时解锁,知识的载体。代表被僧侣和贵族垄断的、靠手抄传播的珍贵知识，是【印刷术】将要革新的对象。,
【工匠】,灵感卡 (初始),理性时代,进入理性时代时解锁,生产力的代表。象征着前工业时代手工作坊的生产力极限，是【蒸汽机】将要突破的瓶颈。,
【旧秩序】,灵感卡 (初始),理性时代,进入理性时代时解锁,衰退的社会结构。代表摇摇欲坠的帝国残骸与僵化的封建制度，是【启蒙思想】需要打破和重塑的目标。,
【逻辑】,灵感卡 (初始),理性时代,进入理性时代时解锁 (迷惑项),纯粹的思维工具。虽然是理性的核心，但仅靠抽象逻辑无法直接转化为大规模生产或社会变革的钥匙。,
【公众】,灵感卡 (解锁),理性时代,通关【知识的囚笼】后解锁,新的社会力量。印刷术催生了广泛的阅读阶层，他们开始独立思考，形成舆论，成为变革的基础。,
【印刷术】,钥匙卡,理性时代,中间合成物,解决【知识的囚笼】。**知识的民主化**，使思想能够以低成本、高速度复制，彻底打破知识垄断。,
【启蒙思想】,钥匙卡,理性时代,中间合成物,解决【帝国的黄昏】。**新的社会契约**，提出了以理性和个人权利为基础的全新社会组织原则，取代旧帝国的向心力。,
【蒸汽机】,钥匙卡,理性时代,中间合成物,解决【停滞的生产】。**第一次能源革命**，将热能转化为动能，提供了超越人力和自然的、无穷无尽的动力。,
【教条】,灵感卡 (初始),启蒙时代,进入启蒙时代时解锁,不容置疑的真理。代表宗教对自然和社会的最终解释权，是【科学方法】将要审视和挑战的核心。,
【特权】,灵感卡 (初始),启蒙时代,进入启蒙时代时解锁,与生俱来的不平等。象征着基于血缘和神授权力的贵族与教士阶层，是【人权宣言】要颠覆的社会基石。,
【闪电】,灵感卡 (初始),启蒙时代,进入启蒙时代时解锁,未知的自然力。代表着一切被视为“神罚”或“神迹”的自然现象，是人类渴望理解和驾驭的对象。,
【自由】,灵感卡 (初始),启蒙时代,进入启蒙时代时解锁 (迷惑项),一种渴望和状态。它是启蒙思想的终极追求，但它本身不是方法论，无法直接构建出新的社会法则。,
【公民】,灵感卡 (解锁),启蒙时代,通关【神权的枷锁】后解锁,全新的政治身份。一个拥有权利与义务、而非被动服从的个体，取代了过去“君主的臣民”或“神的羔羊”的身份。,
【科学方法】,钥匙卡,启蒙时代,中间合成物,解决【蒙昧的阴影】。**认知世界的灯塔**，提供了一套观察、假设、验证的可重复流程，将知识从神学中解放。,
【人权宣言】,钥匙卡,启蒙时代,中间合成物,解决【神权的枷锁】。**权力的再定义**，庄严宣告权利源于“人”本身而非神明，构筑了现代社会法理的基石。,
【电力】,钥匙卡,启蒙时代,中间合成物,解决【自然的伟力】。**第二次能源革命**，将一种基本自然力转化为可控能源，人类从此步入“盗火者”的新纪元。,
【民族国家】,灵感卡 (初始),全球时代,进入全球时代时解锁,现代身份认同。以共同语言、文化和领土构建的强大政治实体，是全球协作与冲突的基本单位。,
【大众媒体】,灵感卡 (初始),全球时代,进入全球时代时解锁,信息的广播器。报纸、广播、电视……它们将信息传递给数百万人，但也制造了隔阂与喧嚣。,
【化石燃料】,灵感卡 (初始),全球时代,进入全球时代时解锁,工业的血液。为现代文明提供了几乎无限的能量，也开启了对星球环境的掠夺。,
【意识形态】,灵感卡 (初始),全球时代,进入全球时代时解锁 (迷惑项),一套世界观。它能凝聚人心，也能撕裂世界，但它本身无法解决信息真伪或环境污染问题。,
【人类共同体】,灵感卡 (解锁),全球时代,通关【失控的机器】后解锁,超越国界的身份。全球性灾难让人类意识到，在星球尺度上，我们拥有共同的命运。,
【全球协作】,钥匙卡,全球时代,中间合成物,解决【失控的机器】。**跨越边界的握手**，建立国际组织与规则，以对话取代对抗。,
【计算机】,钥匙卡,全球时代,中间合成物,解决【信息的洪流】。**驯服信息的机器**，以逻辑和算力在喧嚣的数据海洋中建立秩序，筛选真理。,
【可持续发展】,钥匙卡,全球时代,中间合成物,解决【枯萎的星球】。**一种新的增长哲学**，在发展与保护之间寻求平衡，让人类文明与星球共存。,
【后稀缺】,灵感卡 (初始),分野时代,进入分野时代时解锁,物质的终点。自动化生产满足了所有基本需求，将人类从劳动中解放出来，也带来了目的的虚无。,
【基因工程】,灵感卡 (初始),分野时代,进入分野时代时解锁,生命的蓝图。人类已能读写自身的基因代码，根除了疾病，延长了寿命，但生命的意义并非写在DNA里。,
【存在主义】,灵感卡 (初始),分野时代,进入分野时代时解锁,对意义的追问。在无忧无虑的时代，“为何而活”成为最沉重的哲学枷锁。,
【虚拟现实】,灵感卡 (初始),分野时代,进入分野时代时解锁,数字伊甸园。一个可以模拟一切的感官世界，是探索内心宇宙的雏形，也是逃避现实的终极港湾。,
【开拓者精神】,灵感卡 (解锁),分野时代,选择【太空电梯】后解锁,“到那里去”的渴望。仰望星空，人类重拾探索未知边界的古老冲动，将其作为文明的新目标。,
【虚拟飞升】,灵感卡 (解锁),分野时代,选择【脑机接口】后解锁,“成为更多”的渴望。审视自身，人类希望摆脱血肉的束缚，在数字世界中寻求存在的升华。,
【太空电梯】,钥匙卡,分野时代,中间合成物,外向探索之路。建造一座连接天地的通天塔，将探索宇宙的成本降至最低，开启星辰时代。,
【脑机接口】,钥匙卡,分野时代,中间合成物,内向探索之路。打通碳基大脑与硅基计算机的壁垒，将意识接入网络，开启奇点时代。,
【小行星】,灵感卡 (初始),星辰时代,进入星辰时代时解锁,宇宙的建材。漂浮在太空中的无主岩石，蕴藏着建立星际文明所需的一切矿物资源。,
【相对论】,灵感卡 (初始),星辰时代,进入星辰时代时解锁,宇宙的交通法规。爱因斯坦的理论定义了光速的绝对权威，是星际航行必须面对的终极屏障。,
【孤独】,灵感卡 (初始),星辰时代,进入星辰时代时解锁,宇宙的底色。在广袤、黑暗、寂静的太空中，文明是漂浮于虚无之海的唯一孤岛。,
【冯·诺依曼探针】,钥匙卡,星辰时代,中间合成物,解决【空寂的回响】。**播撒文明的种子**，一个可以利用任何物质进行自我复制的机器人，让文明以指数级速度在星系中扩散。,
【曲率引擎】,钥匙卡,星辰时代,中间合成物,解决【光年的囚笼】。**抄近道的智慧**，通过扭曲时空结构，实现超越光速的旅行，将星辰化为邻里。,
【创世纪数据库】,钥匙卡,星辰时代,中间合成物,解决【星际殖民】。**文明的数字方舟**，一个包含了人类所有知识、历史、艺术与基因信息的数据库，确保无论走到多远，我们都记得自己是谁。,
【神经信号】,灵感卡 (初始),奇点时代,进入奇点时代时解锁,思想的语言。大脑中微弱的生物电流，是意识活动的最基本形式，也是机器需要学习和翻译的密码。,
【带宽】,灵感卡 (初始),奇点时代,进入奇点时代时解锁,连接的瓶颈。数据传输的速度，决定了数字思维的深度和广度，是通往集体意识的天花板。,
【死亡】,灵感卡 (初始),奇点时代,进入奇点时代时解锁,最后的恐惧。生物机能的必然终结，是驱动人类摆脱肉体、追求永恒的终极动力。,
【集体意识同步】,钥匙卡,奇点时代,中间合成物,解决【孤立的意识】。**思想的共鸣**，一种允许不同意识在最深层次共享感知、情感与记忆的技术，将“我”扩展为“我们”。,
【数字永生】,钥匙卡,奇点时代,中间合成物,解决【意识上传】。**最终的飞升**，将一个人的完整意识结构从脆弱的大脑上传至永不磨损的服务器，摆脱时间的腐朽，成为新实相的一部分。,
